config	accuracy	degen%	mean_tok	heavy/ex	draft/ex	wall/ex	tok/s
dbet_h0.9_d0.9_k2	89.9924%	1%	257	38.8	33.5	1.41	182.3
heavy_h0.9	        91.3571%	0%	258	71.2	0.0	2.19	117.6
dbet_h0.9_d0.8_k2	88.1729%	2%	258	35.3	30.9	1.22	211.6
dbet_h0.9_d0.9_k2_nofix	88.7794%	0%	258	40.4	35.0	1.39	185.1
dbet_h0.9_d0.9_k1	89.6892%	1%	258	39.3	34.0	1.55	166.8
dbet_h0.9_d0.8_k1	87.4905%	3%	255	35.1	30.7	1.38	185.1
dbet_h0.7_d0.9_k2	89.3101%	1%	258	36.4	29.2	1.36	189.6
heavy_h0.7	90.7506%	1%	259	51.8	0.0	1.80	143.9
dbet_h0.7_d0.8_k2	87.7180%	2%	256	33.8	27.4	1.22	210.1
dbet_h0.7_d0.9_k2_nofix	88.2487%	1%	259	38.5	31.3	1.45	178.7
dbet_h0.5_d0.9_k2	85.1403%	1%	260	33.6	25.5	1.21	214.2
heavy_h0.5	85.8226%	1%	264	45.5	0.0	1.45	182.3
dbet_h0.5_d0.8_k2	83.1691%	2%	262	32.4	24.6	1.26	207.5
dbet_h0.5_d0.9_k2_nofix	81.8802%	2%	264	36.7	28.6	1.37	192.2
dbet_h0.9_d0.95_k3	90.2199%	0%	260	42.5	36.4	1.47	176.3
dbet_h0.7_d0.95_k3	88.7036%	0%	259	38.0	30.4	1.36	190.8
dbet_h0.5_d0.95_k3	85.7468%	1%	262	34.1	25.9	1.21	216.6
dbet_h0.9_d0.9_k3	90.5231%	0%	257	38.6	33.2	1.43	180.3
dbet_h0.9_d0.95_k2	90.4473%	1%	255	41.4	35.4	1.42	180.5
dbet_h0.7_d0.9_k3	88.4761%	1%	258	36.7	29.5	1.33	194.3
dbet_h0.7_d0.95_k2	89.4617%	1%	257	37.5	29.9	1.28	201.2
dbet_h0.5_d0.9_k3	85.5951%	1%	260	33.5	25.4	1.14	228.8
dbet_h0.5_d0.95_k2	84.0030%	1%	262	34.6	26.5	1.22	213.5
