config	accuracy	degen%	mean_tok	heavy/ex	draft/ex	wall/ex	tok/s
dbet_h0.9_d0.9_k2_cache	89.2343%	1%	258	38.9	33.5	1.72	150.1
heavy_h0.9	91.3571%	0%	258	71.2	0.0	2.32	111.1
dbet_h0.9_d0.9_k3_cache	90.9022%	0%	258	38.9	33.5	1.40	184.2
dbet_h0.9_d0.8_k3_cache	87.6422%	2%	256	35.1	30.6	1.21	212.1
dbet_h0.7_d0.9_k2_cache	88.4761%	1%	261	37.0	29.8	1.39	187.7
heavy_h0.7	90.7506%	1%	259	51.8	0.0	1.61	160.6
dbet_h0.7_d0.9_k3_cache	89.3859%	0%	260	36.8	29.5	1.34	194.7
dbet_h0.7_d0.8_k3_cache	87.2631%	2%	259	34.4	28.0	1.22	213.3
dbet_h0.5_d0.9_k2_cache	83.5481%	1%	264	34.7	26.5	1.30	203.2
heavy_h0.5	85.8226%	1%	264	45.5	0.0	1.41	187.4
dbet_h0.5_d0.9_k3_cache	85.3677%	1%	263	34.0	25.9	1.24	212.0
dbet_h0.5_d0.8_k3_cache	84.4579%	3%	261	32.7	24.9	1.25	209.8
